ADGRL2
ANKS6
AP3B2
AP5Z1
ARHGEF9
C7
CAMKV
CCAR2
CD24
CDH4
CHGA
CORO7
CRMP1
DGCR8
DHCR7
DPP3
EPHA4
FASN
FOXO3B
FRG2FP
GALNS
HBA2
HDAC10
INCENP
INTS1
KSR1
LIN28B
LINC01089
LRCH2
MAN2C1
MEG3
MEG8
MRGPRF
MRNIP
MSRA
NEB
NEFM
NOM1
NUP210
PBX1
PC
PCBP2-OT1
PCDH17
PLXNB1
PPP1R1B
PRRC2B
PTPRG-AS1
PYGO1
RNF130
RNF44
SBNO2
SCAMP4
SCARA3
SLC16A7
SLC29A2
SLITRK3
SYK
TAF15
TAF1C
TAF6L
TMEM271
TUBB3
VAX1
WDR17
WDR27
ZNF354C
ZNF414
ZNF667
ZNF667-AS1
ZNF675
ZNF730
ZNF736
