ADGRL2
AHNAK
ALK
ANAPC2
ARHGEF9
BACE1-AS
C7
CAMKV
CCN1
CD101
CD24
CD44
CLASRP
CNOT3
COL7A1
CRMP1
CYFIP2
CYP4F23P
DENND4B
DERL3
EFHC1
FAM27C
FASN
GUCY1A2
HS6ST2
JUN
KIAA0556
KMT2B
LINC01237
LRCH2
MALAT1
MCF2L
MED12
MEG3
MEG8
MRGPRF
MVD
MYH10
NBEAL2
NEFM
NUP210
PARVG
PC
PLEC
PYGO1
RASAL3
RNA5SP284
RNF130
RNF44
SNORA5C
SPIN4
SYNGAP1
TEPSIN
TMEM271
TSPAN2
WDR27
ZNF239
ZNF667-AS1
ZNF736
