ALX1
AMZ2
APOBEC3C
ARHGEF6
CD63
DCN
FAM72D
FAM92A
HIST1H1T
IL33
IRX3
LINC00326
LITAF
LYN
MRPS18C
NPIPA5
NRG1
PCSK6
PTGR1
PYCARD
RTN1
SP100
SSTR1
TMEM192
TSPAN5
YAF2
ZFAND1
ZNF277
