ABCC10
ADGRL2
ALK
AP5Z1
ARHGEF9
CAD
CCL2
CDH4
COL16A1
COL7A1
CORO7
CREB5
CRMP1
CYB561
DENND4B
DGCR8
DHCR7
EBI3
ECM1
FASN
FOS
G6PD
GPNMB
HSPA2
HYOU1
IKBKB
INTS1
KATNB1
KCNH5
LAMB3
LDLR
LENG8
LIPH
LOX
LUCAT1
MAN2C1
MAP1S
MEG8
MRGPRF
MTHFR
NEBL
NEFM
NFRKB
NLRC5
NPDC1
NPIPB3
NUCB1
PAX7
PCBP2-OT1
PCSK7
PCSK9
PIP5KL1
PLXNB1
PNPLA6
PRPF38B
PTOV1-AS2
PTX3
RNF44
SBNO2
SCNN1G
SLC7A5
SLITRK3
SUPT6H
SYNGAP1
SYT12
THY1
TRAPPC9
USP32P1
UTP3
ZNF354C
ZNF736
