ALX1
AMPD2
ANKRD29
ANO5
ARID1B
ATF5
BAHCC1
BBS1
BCR
BOLA3
BUD31
C18orf32
CAD
CAMTA1
CDC42SE2
CLCN6
COL4A2
CYB561
DCN
DDIT4
DDX11
DGCR8
DHCR7
DYNC1H1
FABP5P7
FAM102B
FAM72D
FLNA
FLRT2
G6PD
GCN1
GNAI1
GNG10
GTF2A2
HDAC10
HIST1H1C
HIST1H1T
HMGN3
HOXB7
HSPA2
HYOU1
INTS1
KIF1A
KIFC3
LDLR
LENG8
LINC01089
LITAF
LRCH4
LSS
MAN2C1
MTMR4
NAA20
NDUFA5
NEBL
NSUN5P1
ORMDL3
PCDH17
PCNX3
PCSK9
PDCD2L
PELP1
PIEZO1
PLXNA1
POLR2K
PRPF38B
PRRC2A
RALGDS
RIPPLY3
RNF141
RPS26P8
RTN1
RUNDC3B
RWDD1
SBNO2
SERPINH1
SGSM2
SLC12A7
SLC29A2
SLC39A8
SLC6A9
SPTAN1
SRRM2
SRSF11
SSTR1
SUCLG2
SUPT5H
TMEM60
TOP3B
TRAPPC9
TRIM16
TUBGCP6
VKORC1L1
ZNF654
ZNF76
