ANKRD29
ATP5MF
DCN
DUT
EXOSC3
FAM72D
HMGB1P10
HMGN3
LSM8
MED21
PSMG1
RBIS
RPL21
RUNDC3B
SLC39A8
SLIRP
SMR3B
SSBP2
SSTR1
WDR53
