ABCC10
ADAM32
ARHGEF9
CAD
CD24
CD44
CDH4
CLASRP
CLU
CNOT3
COL7A1
CORO7
CREB5
DENND4B
DHCR7
FASN
G6PD
GUCY1A2
HYOU1
IKBKB
INTS1
KATNB1
KCNH5
KSR1
LAMB3
LDLR
LENG8
MAN2C1
MCF2L
MEG8
MINK1
MRGPRF
MTHFR
NEBL
NEFM
NPDC1
NUCB1
PAX7
PC
PCSK7
PCSK9
PLXNB1
PRPF38B
PTX3
RAD9A
RHOD
SBNO2
SLC7A5
SVIL
SYNGAP1
TMEM94
TRAPPC9
TSPAN2
ZNF354C
ZNF582-AS1
ZNF736
