ADGRL2
AHNAK
ARHGEF28
ATG4B
CCL2
CCN1
CD24
CHD6
CLASRP
CLCN6
CLN8
DAB2
DENND4B
DHCR7
DYNC1H1
ERV3-1
FAM27C
FASN
HSPA2
IKBKB
JUN
KIFC3
LARGE2
LDLR
LENG8
LINC02104
LMF1
LTBP3
MAN2C1
MCF2L
MED15
MEG8
MGAT5
MRGPRF
NEFM
NRG1-IT1
P2RY11
PC
PCSK7
PKN3
PLXNB1
PTX3
SIDT2
SLC6A9
SRRM2
SULT1B1
TECPR1
TMEM25
TMEM94
TRIM16L
TSPAN2
TTLL7
UNKL
